tweet,Content
"????? ?? ??????? ????,???? ??? ?? ""???' ??

????? ?? ????? ?? ????,???? ?? ??? ?? ""???"" ????",HOF
????? ????,HOF
??? ?????....????,HOF
Very nice,HOF
???? ???? ?? ????,HOF
???? ???????? ??????? ???? ??... ????????,NONE
"????? ?? ??????? ?????,??????? ?????????  ??

????? ?? ????? ?? ?? ,?????,??????? ??? ?? ?? ??? ?????,??????,??? ??????,????,?????? ?? ..??? ???? ??",HOF
???? ? ?? ???? ???? ?? ???? ?? ?? ??? ??? ????? ???? ?? ??? ????? ???? ??? ??? ???? ??,HOF
"???? ???????? ?? ?????? ??? ?? ????. 
?? ?????? ?? ?????? ??? ?? ???????. 
??? ?? ????????.. ??? ???? ?? ??? ???? ???? ????",HOF
Yahi sab tu bbi he bhadwa.lutera or andhbhakt chamcha????????????????,HOF
?? ?? ????? ??? ??? ????? ??? ??,HOF
"???? ?? ????? ????? ???? ??
?? ?? ?? ???? ?? ?????? ??? ????? ????? ?? ???? ???? ???",NONE
Right ????,HOF
?? ??????? ?? ?? ??? 100% ??? ??,HOF
?? ???? ??? ?? ?? ??? ?? ???? ??? ??? ??? ??? ?? ????,HOF
??? ??? ??,HOF
??,HOF
Hans mt pagli pyar ho jayega ????????????????????,NONE
Right mam,HOF
?? ?? ???? ??????? ?? ??? ??? ????? ?? ??? ???,HOF
????????,HOF
"Mam 
Plz Fb 
Plz 
Plz mam",NONE
"Plz Fb Mam
Plz",NONE
"Wow
??? ??? ???? ???? ??",HOF
????????????,HOF
Wah maza aagya,HOF
"?? ?????? ?? ???? ??? ???? ??? ???? ???
?????? ?? ?? ???????? ???? ?? ?? ???? ?? ?? ?? ???? ?? ????? ???",NONE
?? ??? ??? ?? ??,NONE
??? ???......????? ?? ???? ??!!,HOF
Beshaq,HOF
chup kar,NONE
??????,HOF
???? ???? ?? ???? ??? ?,NONE
"??? ??? 
?? 
???????? ????",HOF
????????????,HOF
"?????,...",HOF
Shi bola aap n,HOF
Jay ho,NONE
"??????? ???? ?? ???????? ?? ???? ??? ????? ""?????????"" ????

????? ???? ???? ""?????????"" ?? ????? ??",HOF
???????? ???? ?? ????? ????? ??,NONE
"???? ??????? ?? ??? ?????
????? ??? ?? ??? ??? ???",HOF
?? ??? ?? ?????? ?? ???? ?? ???? ?? ?? ???? ?? ??? ?? ?????? ????? ?? ???????? ???? ???? ?? ??? ??? ?? ?? ??? ?? ????? ???? ?? ??????????????????????,NONE
????,NONE
"Are pagla bokhla gaya ,bechara.",HOF
??? ??? ?? ??? ?????? ???,HOF
"I like the way you are giving work to ANDHBHAKTS by just putting one line...
You are following RG. After putting one line or a statement the entire RSS / BJP ANDHBHAKTS including their IT CELL get bz on trolling.
??????",HOF
?? ????( ???????? )  ??? ??? ??? ?? ?? ??? ????????? ?? ?? ?? ????? ????? ?????? ?? ?? ?? ??????????,HOF
"Unfortunately, the TROLLERS forget that by using all the NONSENSE they are PROVING their UPBRINGING and the kind of PARENTS / GIRU they have.,.",NONE
??? ?? ???? ??? ????? ?? ??? ???? ???? ???,HOF
Phir inki maa kaun hai,HOF
"Baap shayad bhakton ke honge, hum toh Hindustani hai!",HOF
Right????????????,HOF
????????,HOF
aap sahi bolti Hain,HOF
"????? ?? ??????? ?????, ????? ??? ????? ??
 
????? ?? ????? ??, ?? ?? ???????? ?? ????? ???",HOF
Pilo sudhar jouge gobarbhakt.,HOF
"???? ???? ,??? ???? ??????? ?? ??? ????",HOF
Deska pap hai,HOF
??? ?? ??? ??? ????? “?????????? ?? ??? ????? ?? ???????????????? ??,HOF
Smriti Irani aur Hema Malini maa he hongay,NONE
Yogi takla ravan hai,HOF
????????correct,HOF
Dalal hai Dalal Desh ke,HOF
Right. Mam,HOF
????????????.,HOF
??????? ???,HOF
????? ?? ?? ??????? ??????? ?? ????? ?? ????? ????,HOF
???? ????? ?? ?????????,HOF
????? ???????? ?? ??????????? ???? ?? ........ URL,HOF
That's true,HOF
#bjphataodeshbachao,HOF
Super,HOF
???????,HOF
???? ???? ?? ???????? ??? ??? ?? ????,HOF
??????????,HOF
????????,HOF
???? ??? ?? ?????? ??,HOF
????? ?????? ??? ??? ?? ???? ????? ????? ?? ???? ???? ??? ???? ????? ????? ?? ????? ?? ??? ??? ?? ? ???? ?? ??? ?? ??? ??? ????? ???? ???? ?????? ?? ??? ?? traffic signal ?? ? ???? ?? ????? ???? ?? ????? ?? ????? ??? ??? ???? ??? ???? ?? ??? ?????? ?? ??? ????? ? ????? ??????????,HOF
"Wah bahot khub 
Jab bhaqto k pichhvade me ag lagegi tab unko pata chalega kya hua hai ????????????",HOF
Tumhara baap kaun hai lalu yadav ki mulayam,HOF
andhbhkt bolo bhkt insan ke nhi hote God ke hote h ??,HOF
???? ???? ????? ??? ?? ?? ??? ????,HOF
"???  ?? ?? ???? ??? , ????????  ????? ????????? ??? ??? ???",HOF
??????? ??? ??? ???? ????,HOF
Ye to ane vala vakt parmanit karega,NONE
?? ??? ???? ?????,HOF
Sabse bade papi Tum log hoo Jo desh ke saath kabhi khade nhi hoge,HOF
Wow !!!!!!!! IT cell are pathological liars! And very sore losers! #Bengal,HOF
she is missing u,NONE
Chup hoja,HOF
M follow nhi krta re bs isko bolne ka mn krta h toh aa jaata hu,NONE
?? ?????? ??? ???? ?? ???? ??????? ???? ??? ??? ?? AAP ?? ?????? ?? ??????? ???? ?? ??? ??? ?? ?  ?????? ??? ??????? ?? ??? ?? ???? ???? ??? AAP ?????? ?? ??????? ??? URL,NONE
Yeh dikta nahi bhai,NONE
Bhartiya jhoota party.....,HOF
Dont know which weed is being supplied to these IT cell people.... must be very strong .. URL,HOF
Fake news hai...it's not official account..??..fake account...,HOF
