tweet,Content
"#GurugramNamazSpots
Secularism or blackmail?

Ever where it's same cult and same atire who just wanted to show that this whole world belong to there flat earth theory community.
either they'll take it by conversation or by terrorism. URL",HOF
?? ???? ????? ??? ???? ??? ????????? ????? ?? ???? ??? ????? ???? ?? ????? ?????? ?? ????? ?? ?? ???? ???????? ???? ??????,HOF
ye kaam sarkar ka nhi hai ham hinduao ko jagana padega,HOF
The rise of Taliban.. crush it in infancy,HOF
Infancy ????????,HOF
???? ?????? ????......,NOT
"Jaago hindu Jago yaar Apne bacho ko padai
Likhai karao kab tak netao ke piche bhaag kar Hindu ,Muslim me ladoge , Tumhra bacha Bagair pade BCCI ka Chairman nhi ban skta bhai islye smjh kar kaam karo ??",HOF
Ha jago.... Yha pr road khula ha URL,HOF
Like this shouldn't have been the case. They should show some discipline,HOF
There culture Don't teachs them that,HOF
You like this or a pure street? URL,HOF
"Iske liye v kanoon hai, check your facts",NOT
"Why Namaz is allowed on the public places? What for masjids are? 

Stop missuse of public places- roads, parks, platforms.
Then why there is objection to perform puja in public places??
#GurugramNamazSpots
URL",NOT
Please suspend this officer how come is he saying that law and order is affected if public is asking for clear road?? USER,NOT
These public places are accepted by both hindu and muslim communities so why cant they do their namaz on that spot?,NOT
What have women got to do with this ? Stop playing women card this won't last for long.I have lived in Bareilly UP all my life and never seen any women complaining about it or not feeling safe.Stop discriminating people on the basis of religion that's the true power of country,NOT
Bro the even the Arabs don't offer namaz on the street even when Islam origanted from their in uae their is dh1000 fine because it cause traffic and road blockade then why can't this happen in India. Even the islamic states are not allowing this practice,NOT
"???? ? ????????? ?????, ?????? ??? ?? ? , ?? ???? ??????, ?????? ??? ??? ???",HOF
"??? ??? ??? ?? ?? ??????????? ?? ??? ???????? ???????,
????????? ?? ????? ??-20 ????? ?? ?? ??????
??? ??? ?? ??? 
????????????

#PAKVSAUS 
#Australia",NOT
?? ??????? URL,NOT
Sare Pakistani Cricketers ko Ground pe Namaaz padni chahiye thi haar ke bad..Kyuki aaj fr Islaam haar gya ??,HOF
?????????? ?? ??? ?? ????? ???? ?? ???? ????? ???? URL,NOT
This trip got cancelled. ?? URL,HOF
"??? ???? ??????????? ??
  #HATRIC_six
?? ????? ???? ???? ??? URL",NOT
"????????? ?? ??? ?? ????? ???? ???? ??? ?? ??????? ????? ?? ??? ??

????????? ??? ?? ???? ???? ?????? ?????? ??? ???? ???? ??????",NOT
"??? ?? ??? ?? ????? ?? ?????? ????? 
????? ?????? ?? ???? 
 #???",NOT
"??????????? ??????? ??? ??

???? ???? ?????

?????? URL",HOF
"??????? ??, ?? ?????? ?? ??? ????? ???? ???? ???????? #???_???? ??? ?? ????? ?? #????_????? ?? ?????? ?? ??? ??? ???? ???? ???? ???? ?? ????? ?? ???, ?? ??? ?? ??? ??? ?? ?? ??? ??? ?????? ???????? ????? ?? ??? ??? 
????????? ??:????? ???? ????? ????, ????? ?? ???? ??? ??? ???",NOT
"There was communal tension in Tripura but controlled by police some days ago

Propagandists spread fake news in name of Tripura violence, which resulted in violence by radicals in Maharashtra

These photos, videos are not from Tripura, video from Bangladesh &amp; photos of Rohingyas URL",NOT
It's the 'Wire'us spreading fake news,NOT
So too Rahul Gandhi...,NOT
"How can they do this... This is a matter of shame that some people love to spread communal hate and violence.
What does they benefit from this...?
Can't they be stopped or can't they live in peace..?
There are many critical topics than religious discrimination and hate...",NOT
