tweet,Content
"#babrimasjid
#BabriMasjid was and always will be a mosque.Recently #HagiaSophia and #Azerbaijan mosques ?? are a great example.INSHA ALLAH The day will definitely come on which the voice of Azan will also be heard in the BabriMasjid.#BabriMasjidAwaitsJustice 
 #6decemberBlackDay @URL",NOT
@AUTHOR Panture thodi banana h itne confidence se bol rhe ho ??????,HOF
@COMMENTATOR @AUTHOR ??????,HOF
@COMMENTATOR @AUTHOR Are inki adat h dusro ki chiz p kabza karna dekhne do khwab,NOT
"@AUTHOR ?? ???? ???? ?? ?? ,,?? ?? ??? ???? ???,,?????? ?? ???????? ??? ??? ?? ???? ??? ??,???? ????? ??? ?? ? ?? ??? ?? ??? ! ??? ?? ?????? ????? ?? ??? ??? ??,??? ?? ????? ??? ? ??????? ???? ???? ?????????? ?? ?? ? @URL",HOF
@COMMENTATOR @AUTHOR They will not open their mouth now,HOF
"@AUTHOR Allah ki marji ke bina patta tak nahi hilta 
Keep faith in allah",NOT
@COMMENTATOR @AUTHOR Toh shayad Masjid bhi Ola ke he marji se todi rahegi. Thoda sabr rakho Ola ke marji mutabik sab Mandir wapis ayenge.,HOF
"'If someone calls the Mughals ‘glorified dacoits’, it is very much okay with the majority and is lauded. However, if you mention anything critical about a Hindu king or support a Muslim king, you invite legal trouble and physical violence.' | @USER 

@URL",NOT
@AUTHOR @USER All we do is think that they were dacoits and they were nobodies.... some of then were cruel but many of them did nice things too! And if the hindu kings were so indestructible why weren't we able to throw out a bunch of meager dacoits? Or 50000 british soldiers?,HOF
"@AUTHOR @USER I've heard somewhere about this saying of a english soldier "" if all of india even threw a handful of sand we would have been buried "" indicating the fact that we could have very easily overthrown them",HOF
"@AUTHOR @USER Good article! I hope one day @AUTHOR will come up with a well researched article on violence by Orthodox Sunni muslims on Shia and Sufis in India, massacre of #Kashmiripandits, and provisions in #ShariaLaw that subjugate women.",NOT
@COMMENTATOR @AUTHOR @USER Why do taliban thinks by implementing sharia laws they can rectify one evil by another ??,NOT
"Hotstar web series 'The Empire' of Nikhil Advani and Mitakshara Kumar on the life of Emperor Babur. Great work! At a time when the entire bhakt mandali is abusing and attacking Mughals as dacoits, their courage in making series on the life of Babur is highly commendable. Bravo!",NOT
@AUTHOR Taliban had also blasted Buddhists sites in Afghanistan  ...They should make other series to glorify talibanis too .... Glorifying barbarism is not big deal .....Indirectly they are helping Bjp ....you people think hinduism is bjp and our culture is bjp..In between you cross line,NOT
@COMMENTATOR @AUTHOR This Modiji will do...your wish will be fulfilled by him shortly.,NOT
"@AUTHOR Mughals looted, we stood; brits looted, we stood; congress looted, we stood.. why can’t someone make web series on incredible hindusthan after all, most of the world is eating what was taken from us.",NOT
"@COMMENTATOR @AUTHOR Modi is looting, we are still standing",NOT
@COMMENTATOR @AUTHOR You failed to protect the land everytime. That's why they were able to loot in the first place. What kinda cope is this?,NOT
"@COMMENTATOR @AUTHOR Marathas have also looted, massacred, r@USER. Plz read up about 1741-1752 raid on Bengal by Marathas. Empires are built on blood, and Maratha exploits were cruel even by pre-modern standards.",NOT
"@AUTHOR We all know who he is.... Chhatrapati Shivaji Maharaj the architect of Modern Bharata. Arungzeb dacoit tried so hard but couldn't defeat Him.. tyon malechchha-vansha par Sher Shivaraj hai!( So has descended king Shivaji ,the Tiger.
upon the clan of mlecchas(barbarians), @URL",HOF
"@COMMENTATOR @AUTHOR Marathas have also looted, massacred, r@USER. Plz read up about 1741-1752 raid on Bengal by Marathas. Empires are built on blood, and Maratha exploits were cruel even by pre-modern standards.",HOF
@AUTHOR Maharana Bappa Rawal The ferocity and bravery of Bappa Rawal was so astounding that Arabs didn’t dare to attack prosperous India for next 400 years. My heroes.... Babur the dacoit @URL,NOT
"@COMMENTATOR @AUTHOR Marathas have also looted, massacred, r@USER. Plz read up about 1741-1752 raid on Bengal by Marathas. Empires are built on blood, and Maratha exploits were cruel even by pre-modern standards.",HOF
"@AUTHOR 100% Disagree with you here

This is just a commercial take on what will be sensational and will attract views. Content itself is highly fictional, artistic value min, typical bwood masala

Chanakya is still gold standard here on historical series, 30 years on. Enough said.",NOT
@AUTHOR He made the movie because AH like you are supporting,NOT
@AUTHOR Sayv anything because you have blue tick,NOT
@AUTHOR Absolutely right sir,HOF
"@COMMENTATOR @AUTHOR Madarsachap Mughals were Turks not South Asian Muslims, They were defeated by Hindu Maratha Empire",HOF
@AUTHOR And you tweeting this in this hour of despair and chaos is also an act of bravery and courage. More power to you too,NOT
@COMMENTATOR @AUTHOR Mughals were Turks they killed millions in India but I don't know why tou South Asians glorify Turkic empire,HOF
"Muslims are being persecuted in the country,

 #WakeUpForMathuraMasjid",HOF
@AUTHOR Temple land must go to the rightful owners.,NOT
"@COMMENTATOR @AUTHOR Hindus used to pray here at British rule time.  These all buildings belong to Hindus, not Islamists",HOF
"@AUTHOR Mathura Masjid?, That is illegal structure made on Mandir by followers of Desert Cult.

Newly made K2Os, even primary K2Os don't protect illegal structures(Masjids), learn from them, Please.

To all Momins of INDIAN subcontinent, you're Cowards.??

Ola - Uber ????????",NOT
@COMMENTATOR @AUTHOR Jingalala hu chakbar????,HOF
"Things are changing very fast now. Hindutva perverts, supported by their khaki wearing bodyguards, are threatening to desecrate Mathura mosque with filthy dolls. 
Muslims need to unite &amp; come on a single platform asap to plan for future course of action.

#WakeUpForMathuraMasjid",HOF
@AUTHOR #WakeUpForMathuraMasjid #WakeUpForMathuraMasjid,NOT
"@COMMENTATOR @AUTHOR Masjid nai baba, ShreeKrishna Janma Bhoomi bolo",HOF
@AUTHOR Kabilai Madarsaa brains started jumping like they are sitting on a Hot TAWAA,HOF
@COMMENTATOR @AUTHOR Ola-e-Uber ????,NOT
@AUTHOR This hashtag can't do anything  .. and the way you are disrespecting hindu religion shows how ur mindset is .. the way you give hate will return back to you  . .. i won't disrespect anyone's religion .. and that shows my upbringing... But the same can't be said about you ..,HOF
"@COMMENTATOR @AUTHOR Bro I'm thinking of lodging a FIR on this asshole.
How could he say something like this 
This community wants their religion to be respected but they'll never respect another community religion  .",HOF
"Lakshdweep is a holy place. Mathura is a picnic spot.

#WakeUpForMathuraMasjid",NOT
@AUTHOR ????? ???????? ?? ??? ???? ??????? ??? ?????? ????? ???? ????? ?? ???? ???????,NOT
"@COMMENTATOR @AUTHOR @USER 
@USER",NOT
@AUTHOR Whole india is holy place of Muslim. Muslims will rule India and India will become a Muslim nation. Inshaallah ????????,HOF
@COMMENTATOR @AUTHOR This nation will one day become hi dutva minority ho bas minority bano itna ha to ja sakte ho taliban ke pass waqt gujarne ????,NOT
@COMMENTATOR @AUTHOR All you can get is a road for prayers,HOF
"@COMMENTATOR @AUTHOR You are still in dream, wake up my son. Hindutva is roaring in India, so muzzis will be disappear soon from India.",HOF
@COMMENTATOR @AUTHOR mera lund,HOF
@COMMENTATOR @AUTHOR Hindus bolege to bum bum bhole tumhare jaise log bum bum bolege to sab bhaag jayege lagega bomb kisi ne fak diya ha ???? tumhare jaise musalman nhi hone chahiye desh ma bahot se ache musalman ha abdul kalam jaise bano yha terrorism mat karo phir aukad dikha diya jayega,HOF
"@COMMENTATOR @AUTHOR Then you'll fight between Shiya and Sunni and then India and Pakistan will be like Iran and Iraq .

That's how your breed is. You people believe in destroying everything.
Don't forget yeh Hindustan hai.",HOF
@COMMENTATOR @AUTHOR Ghar me ghuske gand mar denge bhsdk,NOT
"@COMMENTATOR @AUTHOR Hindu jaag raha hai, hum hamare sab jagah wapis lene aa rahe hai. Tum tumhara Pakistan aur Bangladesh bachane mein lage raho woh bhi hamara hai aur hum leke rahenge.",NOT
@AUTHOR @USER Sir ??,NOT
"@AUTHOR @USER Here is the YouTube link of my talk on Regional Imbalance on VHS platform - just in case you are keen to watch &amp; may have missed to join the live meet on 14th Oct.

@URL

@USER @USER",NOT
"?? ??? ??? ??????? ????? ?????? ?? 

#6DecemberBlackDay @URL",NOT
"@AUTHOR ??????? ???? ?? ?? ???? ??? ???? 
??? ?? 6 ?????? ?? ??? ???? ??? ????
#6DecemberBlackDay 
#?????_??????",HOF
@COMMENTATOR Shukra kro saare hindu nhi gye varna raato raat mandir ban jata hai wahi babri ka malba tak nhi milta,HOF
@AUTHOR Yaad rakh kar bhi kya ukad loge ??????????,HOF
@COMMENTATOR @AUTHOR SAVAGE ??,HOF
@AUTHOR ???? ???? ????? ???? ???? ?? ?????? ????? ???? ???,HOF
@COMMENTATOR @AUTHOR ????? ???? ?? ?? ?? ???? ??,HOF
@COMMENTATOR @AUTHOR ???? ?? ?? ???? ?????  ?? ??? 40000 ????? ???? ?????,HOF
"@AUTHOR ?????  ??? ?? ?? ???? ????? ???? ???? ??
??? ?? ????? ???? ?? 6 ?????? ??.......",HOF
@COMMENTATOR @AUTHOR ????????????,HOF
@COMMENTATOR @AUTHOR Ek baat bata tu bot hena kyuki yahi tweet tune kitni baar copy paste kiya he ? Har tweet me yahi tweet kiya he,NOT
@COMMENTATOR @AUTHOR ??????hassi agai pdh ke ????,NOT
"@COMMENTATOR @AUTHOR Khuda n yeh nhi btya yeh desh or yeh jagah bhagwan Shri Ram ka tha , hai Aur rehega?",HOF
@AUTHOR ?? ???? ???? ??? ?????? ??,HOF
@COMMENTATOR @AUTHOR Teri maa ne tujhe tamiz nahi sikhaya bsdk,HOF
"????? ????? ?? ???? 
????? ???? ???? ??
??? ?? ??? ?? ????
?? 6 ?????? ??!! 
#BabriYaadRahegi
#BabriMasjid
#6Decemberblackday @URL",NOT
"#ShauryaDiwas,#Ayodhya,#BabriMasjid 
The day of regaining the lost pride ?? @URL",NOT
@AUTHOR Thu,NOT
@COMMENTATOR @AUTHOR Aasiha ki c h ut me thu,NOT
"@AUTHOR Why only Ram Mandir and not Ram Sita mandir?
Why was sita let to die in the jungle",HOF
@COMMENTATOR @AUTHOR Bcoz it's ram janmabhoomi not sita,NOT
@COMMENTATOR @AUTHOR Ghar wapsi karle sab samzaya jayega fir se...,HOF
"@COMMENTATOR @AUTHOR You can’t tolerate a tweet on your religion, god, and burn everything when someone tweets. When you don’t have tolerance then you should not utter other religion gods so casually.",HOF
