Comment,Target
Professor from money heist,0
Now the true Islamic spirit is released Allah is therefore glorified,0
Nonsense the meaning of the greeting is May god be with you so can it be for a community,0
Jaisi dalli police waisa unka liear kamal ka Knowledge h,1
Democracy on peak,0
Quran ki pehle panney mein hi jo likha hain utna hi likh sakat Madrassa se bhaga diya kya,1
rightwinger,0
Ye kya chutiya logic hai,1
Undemocratic and foolish Arguement,0
What nonsense Kuch bhi Matlab kuch bhi,0
Dehli police ka nam desh me ho raha hai aur bahar dunia ke desho pata chal jata hai ki delhi police kitna sandarbh kam karti hai jai hind,0
Salam Namaste Hello Is me konsi bate alag hai ye dehli police bataye,0
Mat bolo bhakt gaali denge,1
First understand the meaning of Assalamualaikum,0
teri maa ki choot sale Haramkhoor,1
Tu gai se paida huwasaare lange bhagwan rakhle Sala Hazaro bhagwaan Devi bhi langiHaramkhor Ram,1
sahi bole toh gaad jalri behen chood,1
jaa jake pehle Tu kiski aulaad hai maloom kar Gai hai ya insaan ki Moot peene wale Bhakhao,1
Hello means only for Christian and namste for only Hindus,0
Baat se aap ka kisi gandi madrassa ki boo ati hai Lekin wahan ae bhi bhaga diya gaya tumhe zaroor sahi tarikhe se namaz nhi padne aya hoga Tumhe dekha nhi lekin surat ki andaz lagaa sakta hun Inshallah Lahollah quwat yeh kaun si asad hain Sabh sakal langoor ki fakad dumm ki kasoor hain,1
b j p created new jobs for idiots like you Toronto,1
ye islam se nafrat bol rahi hai delhi police ki,1
walekumsalam,0
Hadd hai bhai simple smjh aa raha ki jabardasti fasana hai,0
modi always starts his speech with Namaskar So is he always only speaking to hindus and not all the people of India,0
Nafrat pal k bethe h yhnha har log muslim s,1
Ye to terrorist hi,0
The meaning of assalamualaikum Is peace be upon you all Kisiko peace greet karna bhi galat hai Wah modiji wah,0
This is what happens when you put a tadipar as HM who recruits half pants and half minds illiterates in police Otherwise they would know salam means peace,1
All this money and power and this is the best they could come up with Thodi akal bhi lagao sahabjanta ko aap murkh samajhna band Kar dijiye,0
Chiiii dp Is this all youve got,0
Modiji ka namaskar sirf ek community ko rehta hai iska matlab,0
He should use bhaiyooo aur behanooo or mitrooooooo,0
ParTiCuLar naam boldo bhai itna kyun tadpe jaa rahe ho,0
abey inko bharti kisne kia police mai phle knowledge gain krni thee,0
Matlb kuuch bhii,0
logic is dead,0
Kya chutiya log hain inhe iska matlab bhi nahi pata,1
Aise namune hai padhe likhe gwar hamare system ke bade ohadon par,1
Assalamu alaykum to All brother and sister,0
Delhi policedalli police,1
Tuchiya gaye,0
Koi sense hai is baat ka here first victim is logic What is happening in our country,0
Ohso by that logic goli maaro saalo ko was for which particular community,0
Wah kya scene hai,0
Assalam alaikum means Namste Bewkoof Public Prosecutor Modi ne in sabko Gadha bana diya hai,1
Chutiya Delhi Police Fraud Police,1
Bhagwan ji hi madad kar sakte hain aise logic ki Allah toe fail ho jayega,1
wo aap Allah pe chor de,0
Waah re reservation k zariye appoint hue jaahilagar PMCM or Hollywood star agar kisi particular religion ka salutation use kare to vo speech sirf ussi k liye hogi kya,1
Agar namaskar kehta to kuch bhi tuk nikaal lo,0
Wah Ye level hai delhi police ka,0
What about namaste trump,0
Ye kya hutiyapa hai sab nashe me hai sab,1
Salaaam alaikum everyone that means may peace be with you everyone,0
