id,label,tweet
1,1,aadi jankari hai puri nahin kripya hamare ghar mein ke bare mein kuchh kahin mahakal ki jay ho jay shri bole na ham bhi aap ke bare mein bahut kuchh bol sakte
2,0,allah huakbar
3,0,rip knowledge
4,1,ola hu uber
5,0,muslim 
6,1,sir pahchana tabhi to unko naya sir lagaya tha bhi tumko punarjanm deya
7,0,us question ka answer dena tha answer pata hoga tbhi to doge
8,0,this video with out logic
9,1,zakir zatu hai
10,1,hindu dhrm ka insult karte hai akal nahi hai saloo ko
11,1,joker nalyak kouchi bhi
12,1,ye anpadh hindu hoga isliye nhi bata paya baddimag
13,1,jali jali jali jali hundu ki gand jali
14,1,terrorism is the best way to pray allahallah fucked by all christians at that time
15,1,maulana chaccha ko sahi ka pta nhi hai isiliye bade khush hokr suna rhe   abe salo jb khud ko  pura gyan na ho to dusro ko gyan na pela karo bc
16,1,zakir naik doesnt even have half knowledge shameless
17,1,linduism
18,1,can anyome tell me whos the devil in hinduism
19,1,dogle kam se kam pura nahi thoda to gyan leka atta oo sorry jab tera pambar hi loduuu hai sala jisne bacchi ka rep kardiya tu to fir uske bande hai  jo apni maa pe or behan pe chadhta hai 
20,1,kallah or we ca n say terrorist
21,0,topi pahan lene se koi musalman nahi ho jata
22,1,iska  baap ke bare mein aise hi bolta hai yeh kuta
23,0,ek baat bolu topi wala har koi musalmaan nahi hota
24,0,haha i like
25,0,jo hota h vo vidhi ka vidhan h zakir nalayak ji
26,1,mail se bchha paida ho jata hai just lindu things
27,0,sach hamesha karwa hota hai
28,1,aur teri maa chod jaati hai aur tu phir apni kati hui lund bhi kat jaati hai bsdk  tera allah ko bula na toh tere sar pe rakhu bandook mc katve jhuthe
29,0,i am proud to be an muslim 
30,0,but you are insulting muslims in every single of u r videos
31,1,factdallah ek fictional imagination hai aur kuchh nahi 
32,1,to allala bhi kaya kar sakata hai allah ka bas ki kuh bi nahi hai
33,1,dalllah toh khud ka sakal nahi bana paya duniya kya khak banayega allah khud 1400 pahle astitva mein aaya esase jada purane hamare yaha par rajao ke mehel hai 
34,1,samjhe nalayak
35,1,aare chutiye tere bagvaan urf chutiye ke vastvaketa he nahi hai
36,1,sahi kaha hai  o bhagman apne bete ko nhi phchan skte hai par aap to apne baap ko phchaan lo apka baap hm hindu hai
37,1,tu madarchod hai sare log pehchante h bsdk
38,1,bakrid mei isko bhi katna chaiyea tha kyuki yaa bhi bakri ke sakal ka hai
39,1,end me beta baap ko pehchan gaya  
40,1,chapti dharti in chislam
41,0,har har mahadev ji maharaj ji ke jai ho ji maharaj ji 
42,1,tm hindu itne chutye ho ki y bhi nahi pata ki hum insan apne bhgwan ya khuda ya allah ki koi picture draw nahi kr skte even prophet ya shre ram ya kisi or ki lekin phr bhi tm chutye ek dosre ko chutya bana rahe ho  sham on you chutyo
43,0,galidene ke alaba is question ka answere do muje please confusion durkaro muje bhi doubt hai
44,1,aaj se lagbhag 1400 saal phale aaya tha insabko bewakoof banake chala gaya 
45,1,hindu meaning in arbi like chor 
46,0,kisi insaan ko topi pahan lene se muslim nahai khalata hai
47,1,aur shiv uski gardan ko bhi nahi dhund paye ki kaha giri h kaisa bhagwan h re tu shiva jo gardan ko nahi dundh paya
48,1,fact to nupur sharma ne btaya tha wo bii complete  is kati lulli wale ke jase half knowledge nhi
49,1,behek ki chut zakir ki
50,1,abe bhsdk kya editing hai re mc
51,0,bhai yah sab chor pahle to answer de uska
52,0,he is not insulting he is telling u truth where he said any bad word to your lord shiva
53,1,jis din sanatans nei iss suwarr zakir naik ko kuchal kar marr marr k jaan sei marr daaleingei uss din iss suwarr aur gandii naali i keede zakir naik ki laksh ko bhi nahi pehchan payeingei  phir iss zakir naik ki gandii aatma kya kareingei
54,0,plz give that little guy some knowledge and tell him that dont interfere in others religion
55,0, o give the answer not some random memes
56,1,samjooo hinduuu jahiloooo
57,1,zakir naik is my g used to watch him destroy the hindu when i was younger  absolute legend
58,1,gand jal gyi linduo ki
59,1, uh  cow is mother of hindus people this mean hindu people is animal 
60,0,we all have different region insulting is not good we should respect all religions
61,0,yogi ji ma bulldozer gujra hoga baju se
62,1,aandubhakto ko jab jawab nhi mila question ka toh ek dusri clip lagake talne ki koshish kari
63,1,pov agar parvati mata jism ke mail se beta paida kar rhi to tera mulla ola u uber 6 saal ki aisha ke sath kyu kiya
64,1,wo jante the ki wo unka beta hai aur ye jante hue hi unhone unka sir dhar se alag kiya kyuki wo rishi muniyo se udandata kiye the
65,0,janwar khuda ni huwa krty
66,1,buahahha isi liye pk movie bni thi k kproo or topi se judge ni krny ka vo admi hindu tha is liye masjid k bahir ye sb gaa rha tha xd
67,1,are tumlogo ne ek chij gor nahi ki  isne apne muh se pura sanatan ki story batadi iska matlab samjhe
68,0,serial se gyan loge toh yhi hoga 
69,1,lo dekhlo maderchod lindu reply nani de saka chi chi 
70,1,allah is nallah  teri allah ki tarah 6 saal ki bacchi ke uppar nahi chadta rapiest popat kahi  har har mahadev 
71,1,joker khalnayak
72,1,kuch aur kaatne se sir kaatna accha hai
73,1,is madharchod ko koi gyan do
74,1,shi btara hu kbhi akele mt nikliyo ghr se bhar nhi toh mara jaye ga vese toh ghr me bhi ghuske mar skte hai lekin hmesa nhi kringe moka diya hai hmare tmiz se le wrna janta hai na rakshas ka kya hal krte hai pta hoga terko nhi pta toh pta chl jayega mulana
75,1,beta terko ghr mai ghus ke maringe jitni okat hai utne mai he rh hmare
76,1,aise aise lund chatte hain duniya mailaat maar kr bhaga dena chahiye
77,1,lavde tera muhmaad ko bol paakistan ki garibi katam kr de
78,0,pahle lallontop ye sb sikh le fir dusrr ko gyan de 
79,0,sahi bat jai yogi
80,1,ye lallantop channel li andu channel hai jai ho yogi ji ki 
81,0,our next pm
82,0,yogi adhitya nath sir is a great cm
83,0,jai sri ram
84,0,buldoger return
85,0,notice his shoes is not like a yogi or saint
86,0,yogi ji aap great ho
87,0,king of up
88,1,hindu muslim baad me pehle gunahgaro ko mara jayega
89,0,sadar bhav se samman janak sadar sadar namaskar om jay shree aadity nath yogi maharaj ji ko nice national festival shubh holi ki bahut sari shubh mangalmay kamanayen priy gk friend shubh ratri
90,1,vikas dube ko bhi yogiji ne hi thoka hai
91,1,kaanun ke saath khilwaad aapka hatred speech ka kya samajhta hu sir ye sab bas ek khel hai ek aap aur ek wo owaisi dono ka backchodi ha owaisi bada waala hai aap relatively thik ho
92,0,sir kaanun bhi toh aapka hai
93,0,yogi nice word
94,1,yogi sala pagal ho gya hai kabhi gaiyecow ka ghost khana band karrha hai sala yogi pagal
95,0,jay ho yogi ji
96,0,yogi ji maharaj ke haito mumkin hai
97,1,galat insaan ko ched re ho sab pr karyawahi ho rahi h  ahman k encounter bhi hue hain agr muslim ka ghar toota h to  parivar vaad wali party nahi h ye
98,0,jai shri ram sita ram sita ram sita 
99,0,vikas dube bhul gaye
100,0,jogi jee zindabad sab par saman rup se karwayee hui hai 
101,0,sahi baat hai bhai jay shree ram chandra ki jay pavanputra hanuman ki jay jay yogi ji ki 
102,0,jai shree ram
103,0,jis desh m mp surishit nahi ho vaha kya hoga yogi 
104,0,lalantop jaise kab sudhrenge
105,1,vikas dube muslim tha kya be repoter
106,0,jay shree ram ji
107,1,muslims chutta logoko
108,1,bhagwa bhes badal kr gunde hain yea  bs logo ko dharm ke naam par gumrah karke maze le rahe hain  inme or moulvio mai kya antar hai  wo bhi dharm ke naam par bhadka kar maze le rahe hain or ye bhi
109,1,we are muslim not hindu
110,0,no room for terrorist or rowdy in up yogi era 
111,0,yogi baba
112,0,jai shree ram 
113,0,yogi ji maharaj sam up ka mukhiya koi nahi
114,0,vikas ko kanuni karyawahi ki
